2026-04-16 05:25:00 status half-installed grep:amd64 3.11-4
2026-04-16 05:25:00 status unpacked grep:amd64 3.11-4
2026-04-16 05:25:00 install gzip:amd64 <none> 1.13-1
2026-04-16 05:25:00 status half-installed gzip:amd64 1.13-1
2026-04-16 05:25:00 status unpacked gzip:amd64 1.13-1
2026-04-16 05:25:00 install hostname:amd64 <none> 3.25
2026-04-16 05:25:00 status half-installed hostname:amd64 3.25
2026-04-16 05:25:00 status unpacked hostname:amd64 3.25
2026-04-16 05:25:00 install init-system-helpers:all <none> 1.69~deb13u1
2026-04-16 05:25:00 status half-installed init-system-helpers:all 1.69~deb13u1
2026-04-16 05:25:00 status unpacked init-system-helpers:all 1.69~deb13u1
2026-04-16 05:25:00 install libacl1:amd64 <none> 2.3.2-2+b1
2026-04-16 05:25:00 status half-installed libacl1:amd64 2.3.2-2+b1
2026-04-16 05:25:00 status unpacked libacl1:amd64 2.3.2-2+b1
2026-04-16 05:25:00 install libapt-pkg7.0:amd64 <none> 3.0.3
2026-04-16 05:25:00 status half-installed libapt-pkg7.0:amd64 3.0.3
2026-04-16 05:25:00 status unpacked libapt-pkg7.0:amd64 3.0.3
2026-04-16 05:25:00 install libattr1:amd64 <none> 1:2.5.2-3
2026-04-16 05:25:00 status half-installed libattr1:amd64 1:2.5.2-3
2026-04-16 05:25:00 status unpacked libattr1:amd64 1:2.5.2-3
2026-04-16 05:25:00 install libaudit-common:all <none> 1:4.0.2-2
2026-04-16 05:25:00 status half-installed libaudit-common:all 1:4.0.2-2
2026-04-16 05:25:00 status unpacked libaudit-common:all 1:4.0.2-2
2026-04-16 05:25:00 install libaudit1:amd64 <none> 1:4.0.2-2+b2
2026-04-16 05:25:00 status half-installed libaudit1:amd64 1:4.0.2-2+b2
2026-04-16 05:25:00 status unpacked libaudit1:amd64 1:4.0.2-2+b2
2026-04-16 05:25:00 install libblkid1:amd64 <none> 2.41-5
2026-04-16 05:25:00 status half-installed libblkid1:amd64 2.41-5
2026-04-16 05:25:00 status unpacked libblkid1:amd64 2.41-5
2026-04-16 05:25:01 install libbsd0:amd64 <none> 0.12.2-2
2026-04-16 05:25:01 status half-installed libbsd0:amd64 0.12.2-2
2026-04-16 05:25:01 status unpacked libbsd0:amd64 0.12.2-2
2026-04-16 05:25:01 install libbz2-1.0:amd64 <none> 1.0.8-6
2026-04-16 05:25:01 status half-installed libbz2-1.0:amd64 1.0.8-6
2026-04-16 05:25:01 status unpacked libbz2-1.0:amd64 1.0.8-6
2026-04-16 05:25:01 install libc-bin:amd64 <none> 2.41-12+deb13u2
2026-04-16 05:25:01 status half-installed libc-bin:amd64 2.41-12+deb13u2
2026-04-16 05:25:01 status unpacked libc-bin:amd64 2.41-12+deb13u2
2026-04-16 05:25:01 upgrade libc6:amd64 2.41-12+deb13u2 2.41-12+deb13u2
2026-04-16 05:25:01 status half-configured libc6:amd64 2.41-12+deb13u2
2026-04-16 05:25:01 status unpacked libc6:amd64 2.41-12+deb13u2
2026-04-16 05:25:01 status half-installed libc6:amd64 2.41-12+deb13u2
2026-04-16 05:25:02 status unpacked libc6:amd64 2.41-12+deb13u2
2026-04-16 05:25:02 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2026-04-16 05:25:02 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2026-04-16 05:25:02 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2026-04-16 05:25:02 install libcap2:amd64 <none> 1:2.75-10+b8
2026-04-16 05:25:02 status half-installed libcap2:amd64 1:2.75-10+b8
2026-04-16 05:25:02 status unpacked libcap2:amd64 1:2.75-10+b8
2026-04-16 05:25:02 install libcrypt1:amd64 <none> 1:4.4.38-1
2026-04-16 05:25:02 status half-installed libcrypt1:amd64 1:4.4.38-1
2026-04-16 05:25:02 status unpacked libcrypt1:amd64 1:4.4.38-1
2026-04-16 05:25:02 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-9
2026-04-16 05:25:02 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-04-16 05:25:02 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-04-16 05:25:02 install libdebconfclient0:amd64 <none> 0.280
2026-04-16 05:25:02 status half-installed libdebconfclient0:amd64 0.280
2026-04-16 05:25:02 status unpacked libdebconfclient0:amd64 0.280
2026-04-16 05:25:02 install libgcc-s1:amd64 <none> 14.2.0-19
2026-04-16 05:25:02 status half-installed libgcc-s1:amd64 14.2.0-19
2026-04-16 05:25:02 status unpacked libgcc-s1:amd64 14.2.0-19
2026-04-16 05:25:02 install libgmp10:amd64 <none> 2:6.3.0+dfsg-3
2026-04-16 05:25:02 status half-installed libgmp10:amd64 2:6.3.0+dfsg-3
2026-04-16 05:25:02 status unpacked libgmp10:amd64 2:6.3.0+dfsg-3
2026-04-16 05:25:02 install libhogweed6t64:amd64 <none> 3.10.1-1
2026-04-16 05:25:02 status half-installed libhogweed6t64:amd64 3.10.1-1
2026-04-16 05:25:02 status unpacked libhogweed6t64:amd64 3.10.1-1
2026-04-16 05:25:02 install liblastlog2-2:amd64 <none> 2.41-5
2026-04-16 05:25:02 status half-installed liblastlog2-2:amd64 2.41-5
2026-04-16 05:25:02 status unpacked liblastlog2-2:amd64 2.41-5
2026-04-16 05:25:02 install liblz4-1:amd64 <none> 1.10.0-4
2026-04-16 05:25:02 status half-installed liblz4-1:amd64 1.10.0-4
2026-04-16 05:25:02 status unpacked liblz4-1:amd64 1.10.0-4
2026-04-16 05:25:02 install liblzma5:amd64 <none> 5.8.1-1
2026-04-16 05:25:02 status half-installed liblzma5:amd64 5.8.1-1
2026-04-16 05:25:02 status unpacked liblzma5:amd64 5.8.1-1
2026-04-16 05:25:02 install libmd0:amd64 <none> 1.1.0-2+b1
2026-04-16 05:25:02 status half-installed libmd0:amd64 1.1.0-2+b1
2026-04-16 05:25:02 status unpacked libmd0:amd64 1.1.0-2+b1
2026-04-16 05:25:02 install libmount1:amd64 <none> 2.41-5
2026-04-16 05:25:03 status half-installed libmount1:amd64 2.41-5
2026-04-16 05:25:03 status unpacked libmount1:amd64 2.41-5
2026-04-16 05:25:03 install libnettle8t64:amd64 <none> 3.10.1-1
2026-04-16 05:25:03 status half-installed libnettle8t64:amd64 3.10.1-1
2026-04-16 05:25:03 status unpacked libnettle8t64:amd64 3.10.1-1
2026-04-16 05:25:03 install libpam-modules:amd64 <none> 1.7.0-5
2026-04-16 05:25:03 status half-installed libpam-modules:amd64 1.7.0-5
2026-04-16 05:25:03 status unpacked libpam-modules:amd64 1.7.0-5
2026-04-16 05:25:03 install libpam-modules-bin:amd64 <none> 1.7.0-5
2026-04-16 05:25:03 status half-installed libpam-modules-bin:amd64 1.7.0-5
2026-04-16 05:25:03 status unpacked libpam-modules-bin:amd64 1.7.0-5
2026-04-16 05:25:03 install libpam-runtime:all <none> 1.7.0-5
