TRACE pc=1113992 n=1000 ptr=68 val=1 elapsed=0.02
TRACE pc=1355 n=2000 ptr=0 val=1 elapsed=0.03
TRACE pc=1113992 n=2000 ptr=68 val=1 elapsed=0.03
TRACE pc=1024960 n=200 ptr=49 val=1 elapsed=0.04
TRACE pc=1097716 n=200 ptr=67 val=1 elapsed=0.04
TRACE pc=1355 n=5000 ptr=0 val=1 elapsed=0.05
TRACE pc=1097716 n=500 ptr=67 val=1 elapsed=0.05
TRACE pc=1097716 n=1000 ptr=67 val=1 elapsed=0.06
TRACE pc=1113992 n=5000 ptr=68 val=1 elapsed=0.06
TRACE pc=1024960 n=500 ptr=49 val=1 elapsed=0.06
TRACE pc=1097716 n=2000 ptr=67 val=1 elapsed=0.07
TRACE pc=1355 n=10000 ptr=0 val=1 elapsed=0.09
TRACE pc=1097716 n=5000 ptr=67 val=1 elapsed=0.11
TRACE pc=1024960 n=1000 ptr=49 val=1 elapsed=0.12
TRACE pc=1113992 n=10000 ptr=68 val=1 elapsed=0.14
TRACE pc=1097716 n=10000 ptr=67 val=1 elapsed=0.20
TRACE pc=1024960 n=2000 ptr=49 val=1 elapsed=0.24
TRACE pc=1024960 n=5000 ptr=49 val=1 elapsed=0.55
TRACE pc=1024960 n=10000 ptr=49 val=1 elapsed=1.09
TRACE pc=1085906 n=1 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=2 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=3 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=4 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=5 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=6 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=7 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=8 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=9 ptr=49 val=1 elapsed=2.08
TRACE pc=1093021 n=1 ptr=52 val=1 elapsed=2.08
TRACE pc=1085906 n=10 ptr=49 val=1 elapsed=2.08
TRACE pc=1093218 n=1 ptr=52 val=1 elapsed=2.08
TRACE pc=1085906 n=11 ptr=49 val=1 elapsed=2.08
TRACE pc=1093463 n=1 ptr=52 val=1 elapsed=2.08
TRACE pc=1085906 n=12 ptr=49 val=1 elapsed=2.08
TRACE pc=1085906 n=13 ptr=49 val=1 elapsed=2.09
TRACE pc=1093900 n=1 ptr=52 val=1 elapsed=2.09
