111.192.102.34 - - [03/Feb/2018:00:25:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:00:26:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:26:43 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:26:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:26:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:00:27:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:27:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
54.36.148.113 - - [03/Feb/2018:00:27:40 +0800] "GET /http_type/tm/html/docments/LT51220382006202IKR00%20Metadata.htm HTTP/1.1" 404 259
61.149.81.22 - - [03/Feb/2018:00:29:35 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:29:36 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
111.192.102.34 - - [03/Feb/2018:00:30:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:00:30:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:00:31:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:31:43 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:31:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:31:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
54.36.149.81 - - [03/Feb/2018:00:32:06 +0800] "GET /http_type/tm/pic/LT41320411989057XXX02.jpg HTTP/1.1" 200 218665
61.149.81.22 - - [03/Feb/2018:00:32:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:32:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.120.173.126 - - [03/Feb/2018:00:33:38 +0800] "GET /zszx/map/standard/index_2_4.htm HTTP/1.1" 304 -
106.120.173.126 - - [03/Feb/2018:00:33:47 +0800] "GET /zszx/map/standard/index_2_1.htm HTTP/1.1" 304 -
106.120.173.126 - - [03/Feb/2018:00:33:57 +0800] "GET /tlp/user/main.jsp?table=m_rjs HTTP/1.1" 200 23909
106.120.173.126 - - [03/Feb/2018:00:34:08 +0800] "GET /obd/search.jsp HTTP/1.1" 200 4850
106.120.173.126 - - [03/Feb/2018:00:34:19 +0800] "GET /html/yellow-river/right.htm HTTP/1.1" 304 -
106.120.173.126 - - [03/Feb/2018:00:34:29 +0800] "GET /sxzn/foreground/modifyUserInfo.action HTTP/1.1" 302 -
106.120.173.126 - - [03/Feb/2018:00:34:39 +0800] "GET /sxzn/foreground/foreground/listDataOfMD.action?id=14 HTTP/1.1" 302 -
106.120.173.126 - - [03/Feb/2018:00:34:49 +0800] "GET /sxzn/login.action;jsessionid=71869DDDB94275663C3386BAE1AC87B1 HTTP/1.1" 200 7317
106.120.173.126 - - [03/Feb/2018:00:35:05 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
51.255.65.47 - - [03/Feb/2018:00:35:04 +0800] "GET /http_type/tm/docments/LT51170281993179XXX00%20Metadata.htm HTTP/1.1" 200 16134
106.120.173.126 - - [03/Feb/2018:00:35:18 +0800] "GET /sxzn/foreground/viewDataset.action?id=1496 HTTP/1.1" 302 -
106.120.173.126 - - [03/Feb/2018:00:35:28 +0800] "GET /sxzn/foreground/viewDataset.action?id=1081 HTTP/1.1" 302 -
51.255.65.25 - - [03/Feb/2018:00:35:30 +0800] "GET /http_type/tm/html/docments/LT51270382006221IKR00%20Metadata.htm HTTP/1.1" 404 259
111.192.102.34 - - [03/Feb/2018:00:35:34 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:00:35:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.120.173.126 - - [03/Feb/2018:00:35:38 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
106.120.173.126 - - [03/Feb/2018:00:35:48 +0800] "GET /sxzn/login.action HTTP/1.1" 200 7317
106.120.173.126 - - [03/Feb/2018:00:35:58 +0800] "GET /sxzn/foreground/viewMetadata.action?id=233 HTTP/1.1" 200 8923
106.120.173.126 - - [03/Feb/2018:00:36:08 +0800] "GET /obd/listEntities.jsp?did=1180 HTTP/1.1" 500 2129
58.32.44.98 - - [03/Feb/2018:00:36:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:36:43 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:36:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:36:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:00:37:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:37:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [03/Feb/2018:00:40:34 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:00:40:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
54.36.149.26 - - [03/Feb/2018:00:40:28 +0800] "GET /zszx/map/photo/50huangtu/xlpjt.bmp HTTP/1.1" 200 867098
58.32.44.98 - - [03/Feb/2018:00:41:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:41:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:41:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:41:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:00:42:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:42:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [03/Feb/2018:00:45:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:00:45:33 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:00:46:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:46:43 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:46:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:46:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:00:47:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:47:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [03/Feb/2018:00:50:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:00:50:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:00:51:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:51:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:51:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:51:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:00:52:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:52:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.236.10.111 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=19 HTTP/1.1" 302 -
42.236.49.29 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/login.action;jsessionid%3DE83B0F38080154011DEE4AD3FFDA3B25 HTTP/1.1" 200 7386
42.236.49.29 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/login.action;jsessionid%3D54812982A760622FB66F9813A7D30BA6 HTTP/1.1" 200 7386
42.236.48.48 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/login.action;jsessionid%3D2F6C26E1C580B855EDD4E6BE5195510A HTTP/1.1" 200 7386
42.236.49.29 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/login.action;jsessionid%3D7815B3A66B46CFA48FC5DE36E2EF5C4E HTTP/1.1" 200 7386
58.32.236.149 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/login.action;jsessionid%3DC54E9820FB5B43F6982423FFFDB31D04 HTTP/1.1" 200 7386
42.236.10.111 - - [03/Feb/2018:00:53:08 +0800] "GET /sxzn/login.action;jsessionid=011E654727366B63C74585A0ED68150F HTTP/1.1" 200 7254
42.236.48.48 - - [03/Feb/2018:00:53:09 +0800] "GET /sxzn/login.action;jsessionid%3D0A10DB2E3DD815774C186F8863CCF85E HTTP/1.1" 200 7386
42.236.10.77 - - [03/Feb/2018:00:53:09 +0800] "GET /sxzn/login.action;jsessionid%3DA1B3979E48DC9CAF11A12EC464B091C8 HTTP/1.1" 200 7386
111.192.102.34 - - [03/Feb/2018:00:55:34 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:00:55:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:00:56:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:00:56:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:00:56:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:00:56:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:00:57:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:00:57:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.11.156.216 - - [03/Feb/2018:00:58:46 +0800] "GET /sxzn/foreground/viewMetadata.action?id=6 HTTP/1.1" 200 10666
61.149.81.22 - - [03/Feb/2018:01:00:07 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [03/Feb/2018:01:00:07 +0800] "GET /wwwlogs/ex171029.log HTTP/1.1" 404 1015
61.149.81.22 - - [03/Feb/2018:01:00:07 +0800] "GET /wwwlogs/ex180202.log HTTP/1.1" 200 338607
203.208.60.194 - - [03/Feb/2018:01:00:28 +0800] "GET /zszx/handbook/notes.docs/image005.jpg HTTP/1.1" 304 -
111.192.102.34 - - [03/Feb/2018:01:00:34 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:01:00:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.12.161 - - [03/Feb/2018:01:01:39 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [03/Feb/2018:01:01:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [03/Feb/2018:01:01:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:01:01:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:01:01:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:01:01:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:01:02:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:01:02:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [03/Feb/2018:01:05:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:01:05:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:01:06:41 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:01:06:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:01:06:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:01:06:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:01:07:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:01:07:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.210.71.102 - - [03/Feb/2018:01:08:31 +0800] "GET /zszx/map/photo/50huangtu/pldfb.bmp HTTP/1.1" 200 867098
111.192.102.34 - - [03/Feb/2018:01:10:33 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:01:10:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [03/Feb/2018:01:11:42 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [03/Feb/2018:01:11:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [03/Feb/2018:01:11:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [03/Feb/2018:01:11:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [03/Feb/2018:01:12:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [03/Feb/2018:01:12:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
68.180.229.240 - - [03/Feb/2018:01:15:33 +0800] "GET /robots.txt HTTP/1.1" 404 985
68.180.229.240 - - [03/Feb/2018:01:15:33 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=6 HTTP/1.1" 302 -
111.192.102.34 - - [03/Feb/2018:01:15:34 +0800] "HEAD / HTTP/1.1" 302 -
