188.165.15.108 - - [06/Jan/2015:00:01:35 +0800] "GET /sxzn/foreground/viewMetadata.action?id=10 HTTP/1.1" 200 9083
61.149.37.106 - - [06/Jan/2015:00:04:03 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:04:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:04:09 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:04:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.79.68 - - [06/Jan/2015:00:04:37 +0800] "GET /start_ks/jiaoyu/index4_7.html HTTP/1.1" 200 7478
61.149.81.22 - - [06/Jan/2015:00:08:59 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:08:59 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:09:03 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:09:04 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:14:13 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:14:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:14:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:14:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.79.107 - - [06/Jan/2015:00:15:44 +0800] "GET /robots.txt HTTP/1.1" 200 68
66.249.79.107 - - [06/Jan/2015:00:15:44 +0800] "GET / HTTP/1.1" 302 -
66.249.79.99 - - [06/Jan/2015:00:15:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
61.149.81.22 - - [06/Jan/2015:00:18:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:18:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:19:03 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:19:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:23:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:23:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:24:03 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:24:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:28:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:28:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:29:04 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:29:04 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:33:59 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:33:59 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:34:03 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:34:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:38:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Jan/2015:00:38:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:39:03 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:39:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [06/Jan/2015:00:44:02 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [06/Jan/2015:00:44:02 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [06/Jan/2015:00:44:15 +0800] "GET / HTTP/1.1" 302 -
