61.149.37.239 - - [05/Aug/2014:00:45:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
210.72.16.54 - - [05/Aug/2014:00:45:42 +0800] "GET /favicon.ico HTTP/1.1" 404 209
61.149.37.106 - - [05/Aug/2014:00:46:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:00:46:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
37.58.100.163 - - [05/Aug/2014:00:48:14 +0800] "GET /sxzn/foreground/viewMetadata.action?id=3 HTTP/1.1" 200 9215
61.149.37.239 - - [05/Aug/2014:00:50:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:00:50:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:00:51:52 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:00:51:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.239 - - [05/Aug/2014:00:55:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:00:55:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:00:56:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:00:56:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
157.55.39.103 - - [05/Aug/2014:00:58:41 +0800] "GET /sxzn/aboutSXZN.jsp HTTP/1.1" 200 7357
61.149.12.161 - - [05/Aug/2014:01:00:09 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [05/Aug/2014:01:00:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.239 - - [05/Aug/2014:01:00:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:00:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:01:01:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:01:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.239 - - [05/Aug/2014:01:05:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:05:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:01:06:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:06:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.239 - - [05/Aug/2014:01:10:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:10:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:01:11:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:11:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.239 - - [05/Aug/2014:01:15:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:15:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
116.9.72.42 - - [05/Aug/2014:01:16:13 +0800] "GET /zszx/map/photo/50huangtu/pldfb.bmp HTTP/1.1" 200 867098
61.149.37.106 - - [05/Aug/2014:01:16:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:16:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
37.58.100.136 - - [05/Aug/2014:01:18:07 +0800] "GET /sxzn/index.action;jsessionid=E012C4BADDDFE2A327BC417C4C2FE4B7 HTTP/1.1" 200 18558
116.9.72.42 - - [05/Aug/2014:01:18:56 +0800] "GET /clim/images/pretty2.jpg HTTP/1.1" 200 23317
61.149.37.239 - - [05/Aug/2014:01:20:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:20:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:01:21:43 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:21:43 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.239 - - [05/Aug/2014:01:25:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:25:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:01:26:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:26:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
114.221.60.125 - - [05/Aug/2014:01:28:00 +0800] "GET / HTTP/1.0" 302 -
172.16.6.101 - - [05/Aug/2014:01:28:57 +0800] "OPTIONS / HTTP/1.1" 302 -
172.16.6.101 - - [05/Aug/2014:01:28:57 +0800] "OPTIONS /sxzn/index.action HTTP/1.1" 200 18369
208.115.111.69 - - [05/Aug/2014:01:30:05 +0800] "GET /sxzn/browseMetadata.action?d-49747-p=5 HTTP/1.1" 200 25458
61.149.37.239 - - [05/Aug/2014:01:30:38 +0800] "GET / HTTP/1.1" 302 -
61.149.37.239 - - [05/Aug/2014:01:30:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
61.149.37.106 - - [05/Aug/2014:01:31:44 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [05/Aug/2014:01:31:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18382
